1.175,0.975,0.73,0.936,0.645,0.692,0.538,0.65,1.4699
0.586,0.43,0.53,0.592,0.495,0.42,0.474,0.47,0.90921
0.44,0.43,0.53,0.506,0.495,0.488,0.41,0.41,0.79037
0.44,0.43,0.43,0.42,0.42,0.42,0.474,0.41,0.68092
1.18,1.225,1.535,1.388,0.966,0.824,0.858,1.052,1.9495
0.586,0.43,0.83,0.592,0.57,0.488,0.744,0.47,1.1553
1.034,1.533,1.337,1.289,1.066,1.691,1.166,1.276,2.4552
0.76444,0.552,0.63,0.764,0.72,0.846,0.474,0.47,1.2369
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.73969
1.024,0.668,0.83,0.999,0.816,0.624,0.538,0.53,1.3801
1.034,1.15,0.939,1.126,0.72,0.742,0.972,0.65,1.693
0.732,0.43,0.43,0.42,0.57,0.42,0.474,0.41,0.82503
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.53693
0.732,0.943,0.53,0.764,0.795,0.488,0.552,0.59,1.4468
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.43089
1.17,0.674,0.63,0.764,0.795,0.488,0.666,0.661,1.3355
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.54356
1.024,0.796,0.53,0.85,0.87,0.624,0.73,0.65,1.4954
0.99375,3.043,2.934,2.613,2.589,1.674,2.28,2.485,3.6773
0.586,0.43,0.63,0.592,0.42,0.42,0.474,0.41,0.73581
0.586,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.60171
0.44,0.43,0.53,0.42,0.495,0.42,0.474,0.41,0.83563
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.45902
1.034,1.664,1.344,1.29,1.185,0.993,1.1,0.972,2.0371
0.44,0.43,0.43,0.42,0.495,0.42,0.41,0.47,0.84446
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.56944
0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.47726
0.732,0.796,0.73,0.506,0.42,0.624,0.602,0.71,1.1815
0.732,0.674,0.43,0.506,0.495,0.556,0.602,0.59,1.1351
0.586,0.552,0.73,0.592,0.495,0.624,0.474,0.59,1.0733
0.732,0.947,0.83,0.678,0.645,0.76,0.538,0.686,1.4015
0.77,0.83667,0.93,1.017,0.84,0.922,0.897,0.781,1.724
0.732,1.103,1.075,0.678,0.495,0.596,0.41,0.697,1.5269
0.99375,0.773,1.431,1.061,0.963,1.43,1.276,1.086,2.2849
0.878,1.572,0.947,0.592,0.72,0.488,0.68,0.925,1.4186
1.331,1.456,0.93,1.486,0.84,0.846,0.992,0.876,1.7844
1.2511,1.053,1.144,0.85,0.795,1.244,1.028,0.77,2.0169
0.44,0.784,0.73,0.592,0.645,0.692,0.602,0.71,1.3452
1.029,1.04,1.19,0.764,1.041,0.624,0.666,0.626,1.7314
0.935,1.9313,1.309,1.936,1.663,1.472,1.701,1.245,2.7726
